"year","district","light","visibility","road_condition","Fatality"
2006,"Toronto and East York","Dark","Snow","Snow","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Snow","Snow","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Snow","Snow","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Snow","Snow","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Snow","Snow","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Wet","Fatal"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Wet","Fatal"
2006,"Scarborough","Dark","Clear","Wet","Fatal"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dusk","Clear","Dry","Fatal"
2006,"Scarborough","Dusk","Clear","Dry","Fatal"
2006,"Scarborough","Dusk","Clear","Dry","Fatal"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Fatal"
2006,"Scarborough","Daylight","Clear","Dry","Fatal"
2006,"Scarborough","Daylight","Clear","Dry","Fatal"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
